GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project_1,com.revature.pojos,User,112,0,0,0,33,0,17,0,17,0
Project_1,com.revature.pojos,Reimbursement,356,0,0,0,114,0,40,0,40,0
Project_1,com.revature.servlets,AjaxGetAllRequestsDataServlet,47,0,0,0,9,0,2,0,2,0
Project_1,com.revature.servlets,AjaxGetChangeInfoPage,10,0,0,0,3,0,2,0,2,0
Project_1,com.revature.servlets,AjaxGetReceipt,33,0,0,0,5,0,2,0,2,0
Project_1,com.revature.servlets,AjaxgetManagerViewReimbursementsPage,13,0,0,0,4,0,2,0,2,0
Project_1,com.revature.servlets,UpdatePersonalInfoServlet,38,0,0,0,9,0,2,0,2,0
Project_1,com.revature.servlets,AjaxGetUserServlet,42,0,4,0,9,0,4,0,2,0
Project_1,com.revature.servlets,AjaxNavBarServlet,42,0,4,0,9,0,4,0,2,0
Project_1,com.revature.servlets,AjaxGetAboutMeServlet,13,0,0,0,4,0,2,0,2,0
Project_1,com.revature.servlets,AjaxGetAllRequestsPage,13,0,0,0,4,0,2,0,2,0
Project_1,com.revature.servlets,AjaxGetApproveOrDenyReimbursementsData,40,0,0,0,8,0,2,0,2,0
Project_1,com.revature.servlets,AjaxSubmitReimbursementRequestServlet,67,0,0,0,17,0,2,0,2,0
Project_1,com.revature.servlets,AjaxGetAllEmployeesPageServlet,13,0,0,0,4,0,2,0,2,0
Project_1,com.revature.servlets,loginServlet,70,0,2,0,22,0,4,0,3,0
Project_1,com.revature.servlets,AjaxGetReimbursementRequestServlet,13,0,0,0,4,0,2,0,2,0
Project_1,com.revature.servlets,AjaxAllEmployeesDataServlet,40,0,0,0,8,0,2,0,2,0
Project_1,com.revature.servlets,ApprovalRequestServlet,126,0,8,0,23,0,6,0,2,0
Project_1,com.revature.servlets,AjaxGetLoadapproveOrDenyReimbursementsPage,13,0,0,0,4,0,2,0,2,0
Project_1,com.revature.servlets,AjaxGetUserInfo,41,0,0,0,8,0,2,0,2,0
Project_1,com.revature.servlets,LogoutServlet,37,0,4,0,13,0,4,0,2,0
Project_1,com.revature.servlets,AjaxGetManagerViewReimbursementsDataServlet,40,0,0,0,8,0,2,0,2,0
Project_1,com.revature.dao,DaoImpl,253,0,28,0,39,0,18,0,4,0
Project_1,com.revature.dao,ReimbursementDaoImpl,660,0,64,0,84,0,39,0,7,0
Project_1,com.revature.services,Services,93,0,6,0,28,0,13,0,10,0
